
> my-v0-project@0.1.0 import-csv /Users/jonathanguyen/truehome
> npx tsx scripts/import-from-csv.ts /Users/jonathanguyen/Downloads/texas-properties.csv

Schema Env Error: Error: EISDIR: illegal operation on a directory, read
[dotenv@17.2.3] injecting env (3) from .env.local -- tip: ⚙️  override existing env vars with { override: true }
Schema Env Error: Error: EISDIR: illegal operation on a directory, read
📂 Reading CSV file: /Users/jonathanguyen/Downloads/texas-properties.csv
   Processed 100 rows... (100 imported, 0 skipped, 0 errors)
   Processed 200 rows... (200 imported, 0 skipped, 0 errors)
   Processed 304 rows... (300 imported, 4 skipped, 0 errors)
   Processed 404 rows... (400 imported, 4 skipped, 0 errors)
   Processed 504 rows... (500 imported, 4 skipped, 0 errors)
   Processed 607 rows... (600 imported, 7 skipped, 0 errors)
   Processed 708 rows... (700 imported, 8 skipped, 0 errors)
   Processed 809 rows... (800 imported, 9 skipped, 0 errors)
   Processed 953 rows... (900 imported, 53 skipped, 0 errors)
   Processed 1000 rows... (900 imported, 61 skipped, 0 errors)
   Processed 1061 rows... (1000 imported, 61 skipped, 0 errors)
   Processed 1163 rows... (1100 imported, 63 skipped, 0 errors)
   Processed 1269 rows... (1200 imported, 69 skipped, 0 errors)
   Processed 1374 rows... (1300 imported, 74 skipped, 0 errors)
   Processed 1474 rows... (1400 imported, 74 skipped, 0 errors)
   Processed 1581 rows... (1500 imported, 81 skipped, 0 errors)
   Processed 1683 rows... (1600 imported, 83 skipped, 0 errors)
   Processed 1816 rows... (1700 imported, 116 skipped, 0 errors)
   Processed 1937 rows... (1800 imported, 137 skipped, 0 errors)
   Processed 2000 rows... (1850 imported, 139 skipped, 0 errors)
   Processed 2044 rows... (1900 imported, 144 skipped, 0 errors)
   Processed 2144 rows... (2000 imported, 144 skipped, 0 errors)
   Processed 2244 rows... (2100 imported, 144 skipped, 0 errors)
   Processed 2346 rows... (2200 imported, 146 skipped, 0 errors)
   Processed 2448 rows... (2300 imported, 148 skipped, 0 errors)
   Processed 2552 rows... (2400 imported, 152 skipped, 0 errors)
   Processed 2654 rows... (2500 imported, 154 skipped, 0 errors)
   Processed 2757 rows... (2600 imported, 157 skipped, 0 errors)
   Processed 2860 rows... (2700 imported, 160 skipped, 0 errors)
   Processed 2962 rows... (2800 imported, 162 skipped, 0 errors)
   Processed 3000 rows... (2800 imported, 162 skipped, 0 errors)
   Processed 3062 rows... (2900 imported, 162 skipped, 0 errors)
   Processed 3162 rows... (3000 imported, 162 skipped, 0 errors)
   Processed 3262 rows... (3100 imported, 162 skipped, 0 errors)
   Processed 3362 rows... (3200 imported, 162 skipped, 0 errors)
   Processed 3462 rows... (3300 imported, 162 skipped, 0 errors)
   Processed 3573 rows... (3400 imported, 173 skipped, 0 errors)
   Processed 3675 rows... (3500 imported, 175 skipped, 0 errors)
   Processed 3781 rows... (3600 imported, 181 skipped, 0 errors)
   Processed 3882 rows... (3700 imported, 182 skipped, 0 errors)
   Processed 3982 rows... (3800 imported, 182 skipped, 0 errors)
   Processed 4000 rows... (3800 imported, 182 skipped, 0 errors)
   Processed 4082 rows... (3900 imported, 182 skipped, 0 errors)
   Processed 4182 rows... (4000 imported, 182 skipped, 0 errors)
   Processed 4285 rows... (4100 imported, 185 skipped, 0 errors)
   Processed 4385 rows... (4200 imported, 185 skipped, 0 errors)
   Processed 4506 rows... (4300 imported, 206 skipped, 0 errors)
   Processed 4614 rows... (4400 imported, 214 skipped, 0 errors)
   Processed 4714 rows... (4500 imported, 214 skipped, 0 errors)
   Processed 4817 rows... (4600 imported, 217 skipped, 0 errors)
   Processed 4922 rows... (4700 imported, 222 skipped, 0 errors)
   Processed 5000 rows... (4750 imported, 225 skipped, 0 errors)
   Processed 5025 rows... (4800 imported, 225 skipped, 0 errors)
   Processed 5125 rows... (4900 imported, 225 skipped, 0 errors)
   Processed 5226 rows... (5000 imported, 226 skipped, 0 errors)
   Processed 5326 rows... (5100 imported, 226 skipped, 0 errors)
   Processed 5426 rows... (5200 imported, 226 skipped, 0 errors)
   Processed 5527 rows... (5300 imported, 227 skipped, 0 errors)
   Processed 5627 rows... (5400 imported, 227 skipped, 0 errors)
   Processed 5727 rows... (5500 imported, 227 skipped, 0 errors)
   Processed 5843 rows... (5600 imported, 243 skipped, 0 errors)
   Processed 5981 rows... (5700 imported, 281 skipped, 0 errors)
   Processed 6000 rows... (5700 imported, 282 skipped, 0 errors)
   Processed 6083 rows... (5800 imported, 283 skipped, 0 errors)
   Processed 6186 rows... (5900 imported, 286 skipped, 0 errors)
   Processed 6293 rows... (6000 imported, 293 skipped, 0 errors)
   Processed 6393 rows... (6100 imported, 293 skipped, 0 errors)
   Processed 6494 rows... (6200 imported, 294 skipped, 0 errors)
   Processed 6598 rows... (6300 imported, 298 skipped, 0 errors)
   Processed 6699 rows... (6400 imported, 299 skipped, 0 errors)
   Processed 6802 rows... (6500 imported, 302 skipped, 0 errors)
   Processed 6905 rows... (6600 imported, 305 skipped, 0 errors)
   Processed 7000 rows... (6650 imported, 310 skipped, 0 errors)
   Processed 7010 rows... (6700 imported, 310 skipped, 0 errors)
   Processed 7110 rows... (6800 imported, 310 skipped, 0 errors)
   Processed 7210 rows... (6900 imported, 310 skipped, 0 errors)
   Processed 7315 rows... (7000 imported, 315 skipped, 0 errors)
   Processed 7415 rows... (7100 imported, 315 skipped, 0 errors)
   Processed 7519 rows... (7200 imported, 319 skipped, 0 errors)
   Processed 7620 rows... (7300 imported, 320 skipped, 0 errors)
   Processed 7733 rows... (7400 imported, 333 skipped, 0 errors)
   Processed 7856 rows... (7500 imported, 356 skipped, 0 errors)
   Processed 7963 rows... (7600 imported, 363 skipped, 0 errors)
   Processed 8000 rows... (7600 imported, 364 skipped, 0 errors)
   Processed 8065 rows... (7700 imported, 365 skipped, 0 errors)
   Processed 8166 rows... (7800 imported, 366 skipped, 0 errors)
   Processed 8266 rows... (7900 imported, 366 skipped, 0 errors)
   Processed 8366 rows... (8000 imported, 366 skipped, 0 errors)
   Processed 8466 rows... (8100 imported, 366 skipped, 0 errors)
   Processed 8568 rows... (8200 imported, 368 skipped, 0 errors)
   Processed 8673 rows... (8300 imported, 373 skipped, 0 errors)
   Processed 8775 rows... (8400 imported, 375 skipped, 0 errors)
   Processed 8875 rows... (8500 imported, 375 skipped, 0 errors)
   Processed 8976 rows... (8600 imported, 376 skipped, 0 errors)
   Processed 9000 rows... (8600 imported, 378 skipped, 0 errors)
   Processed 9078 rows... (8700 imported, 378 skipped, 0 errors)
   Processed 9184 rows... (8800 imported, 384 skipped, 0 errors)
   Processed 9292 rows... (8900 imported, 392 skipped, 0 errors)
   Processed 9392 rows... (9000 imported, 392 skipped, 0 errors)
   Processed 9541 rows... (9100 imported, 441 skipped, 0 errors)
   Processed 9641 rows... (9200 imported, 441 skipped, 0 errors)
   Processed 9742 rows... (9300 imported, 442 skipped, 0 errors)
   Processed 9847 rows... (9400 imported, 447 skipped, 0 errors)
   Processed 9947 rows... (9500 imported, 447 skipped, 0 errors)
   Processed 10000 rows... (9550 imported, 447 skipped, 0 errors)
   Processed 10050 rows... (9600 imported, 450 skipped, 0 errors)
   Processed 10155 rows... (9700 imported, 455 skipped, 0 errors)
   Processed 10256 rows... (9800 imported, 456 skipped, 0 errors)
   Processed 10362 rows... (9900 imported, 462 skipped, 0 errors)
   Processed 10466 rows... (10000 imported, 466 skipped, 0 errors)
   Processed 10566 rows... (10100 imported, 466 skipped, 0 errors)
   Processed 10666 rows... (10200 imported, 466 skipped, 0 errors)
   Processed 10767 rows... (10300 imported, 467 skipped, 0 errors)
   Processed 10875 rows... (10400 imported, 475 skipped, 0 errors)
   Processed 10975 rows... (10500 imported, 475 skipped, 0 errors)
   Processed 11000 rows... (10500 imported, 475 skipped, 0 errors)
   Processed 11075 rows... (10600 imported, 475 skipped, 0 errors)
   Processed 11175 rows... (10700 imported, 475 skipped, 0 errors)
   Processed 11278 rows... (10800 imported, 478 skipped, 0 errors)
   Processed 11379 rows... (10900 imported, 479 skipped, 0 errors)
   Processed 11479 rows... (11000 imported, 479 skipped, 0 errors)
   Processed 11639 rows... (11100 imported, 539 skipped, 0 errors)
   Processed 11742 rows... (11200 imported, 542 skipped, 0 errors)
   Processed 11842 rows... (11300 imported, 542 skipped, 0 errors)
   Processed 11942 rows... (11400 imported, 542 skipped, 0 errors)
   Processed 12000 rows... (11450 imported, 542 skipped, 0 errors)
   Processed 12044 rows... (11500 imported, 544 skipped, 0 errors)
   Processed 12144 rows... (11600 imported, 544 skipped, 0 errors)
   Processed 12252 rows... (11700 imported, 552 skipped, 0 errors)
   Processed 12353 rows... (11800 imported, 553 skipped, 0 errors)
   Processed 12462 rows... (11900 imported, 562 skipped, 0 errors)
   Processed 12568 rows... (12000 imported, 568 skipped, 0 errors)
   Processed 12669 rows... (12100 imported, 569 skipped, 0 errors)
   Processed 12781 rows... (12200 imported, 581 skipped, 0 errors)
   Processed 12889 rows... (12300 imported, 589 skipped, 0 errors)
   Processed 12990 rows... (12400 imported, 590 skipped, 0 errors)
   Processed 13000 rows... (12400 imported, 595 skipped, 0 errors)
   Processed 13107 rows... (12500 imported, 607 skipped, 0 errors)
   Processed 13209 rows... (12600 imported, 609 skipped, 0 errors)
   Processed 13310 rows... (12700 imported, 610 skipped, 0 errors)
   Processed 13416 rows... (12800 imported, 616 skipped, 0 errors)
   Processed 13517 rows... (12900 imported, 617 skipped, 0 errors)
   Processed 13642 rows... (13000 imported, 642 skipped, 0 errors)
   Processed 13744 rows... (13100 imported, 644 skipped, 0 errors)
   Processed 13849 rows... (13200 imported, 649 skipped, 0 errors)
   Processed 13949 rows... (13300 imported, 649 skipped, 0 errors)
   Processed 14000 rows... (13300 imported, 652 skipped, 0 errors)
   Processed 14053 rows... (13400 imported, 653 skipped, 0 errors)
   Processed 14154 rows... (13500 imported, 654 skipped, 0 errors)
   Processed 14255 rows... (13600 imported, 655 skipped, 0 errors)
   Processed 14366 rows... (13700 imported, 666 skipped, 0 errors)
   Processed 14483 rows... (13800 imported, 683 skipped, 0 errors)
   Processed 14583 rows... (13900 imported, 683 skipped, 0 errors)
   Processed 14683 rows... (14000 imported, 683 skipped, 0 errors)
   Processed 14784 rows... (14100 imported, 684 skipped, 0 errors)
   Processed 14885 rows... (14200 imported, 685 skipped, 0 errors)
   Processed 14986 rows... (14300 imported, 686 skipped, 0 errors)
   Processed 15000 rows... (14300 imported, 687 skipped, 0 errors)
   Processed 15091 rows... (14400 imported, 691 skipped, 0 errors)
   Processed 15191 rows... (14500 imported, 691 skipped, 0 errors)
   Processed 15293 rows... (14600 imported, 693 skipped, 0 errors)
   Processed 15394 rows... (14700 imported, 694 skipped, 0 errors)
   Processed 15498 rows... (14800 imported, 698 skipped, 0 errors)
   Processed 15601 rows... (14900 imported, 701 skipped, 0 errors)
   Processed 15713 rows... (15000 imported, 713 skipped, 0 errors)
   Processed 15813 rows... (15100 imported, 713 skipped, 0 errors)
   Processed 15915 rows... (15200 imported, 715 skipped, 0 errors)
   Processed 16000 rows... (15250 imported, 715 skipped, 0 errors)
   Processed 16015 rows... (15300 imported, 715 skipped, 0 errors)
   Processed 16115 rows... (15400 imported, 715 skipped, 0 errors)
   Processed 16218 rows... (15500 imported, 718 skipped, 0 errors)
   Processed 16322 rows... (15600 imported, 722 skipped, 0 errors)
   Processed 16423 rows... (15700 imported, 723 skipped, 0 errors)
   Processed 16524 rows... (15800 imported, 724 skipped, 0 errors)
   Processed 16624 rows... (15900 imported, 724 skipped, 0 errors)
   Processed 16727 rows... (16000 imported, 727 skipped, 0 errors)
   Processed 16829 rows... (16100 imported, 729 skipped, 0 errors)
   Processed 16938 rows... (16200 imported, 738 skipped, 0 errors)
   Processed 17000 rows... (16250 imported, 738 skipped, 0 errors)
